,Gene,Function,Supportability,Entrez Gene ID,cel-u.2 for egl-15,cel-m.4 for egl-15,cel-r.2 for egl-15,dme-u.2 for btl,dme-u.2 for htl,hsa-u.2 for FGFR2,hsa-u.2 for FGFR1,hsa-u.2 for FGFR3,mmu-u.2 for Fgfr4,mmu-u.2 for Fgfr3,mmu-u.2 for Fgfr2,rno-u.2 for Fgfr4,rno-u.2 for Fgfr1,rno-u.2 for Fgfr2,gga-u.2 for FGFR3,gga-u.2 for FGFR4,gga-u.2 for FGFR2,dre-u.2 for fgfr1b,dre-u.2 for fgfr1a,dre-u.2 for fgfr3,mcc-u.2 for FGFR4,mcc-u.2 for FGFR2,mcc-u.2 for FGFR3,cfa-u.2 for FGFR4,cfa-u.2 for FGFR3,cfa-u.2 for FGFR2
0,egl-15,Myoblast growth factor receptor egl-15|hypothetical protein,1,181291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,exc-5,hypothetical protein,1,177692,1466.86,836.75,1831.21,,,9714.61,5581.84,11797.91,11022.96,11966.98,10782.77,6620.75,6675.79,4759.99,9358.84,11056.81,7532.65,9945.82,7377.37,6504.52,5173.89,9995.01,8712.84,9110.5,9162.22,10386.32
2,Y15E3A.4,hypothetical protein,2,181623,1677.61,2099.1,954.1,4915.52,2779.01,10446.31,9788.25,10555.89,3908.04,9272.56,8847.74,4839.92,7760.37,7098.78,6960.09,7797.83,7387.69,9936.38,8261.36,9929.85,6444.71,8149.86,9697.9,5300.86,7211.82,9171.06
3,F18E9.3,hypothetical protein,3,181112,1804.11,1079.09,2148.74,,,,,,,,,,,,,,,,,,,,,,,
4,F46G10.2,hypothetical protein,2,181454,1914.74,1539.2,1717.43,,,,,,,,,,,,,,,,,,,,,,,
5,sulp-2,SULfate Permease family,2,180828,1950.95,998.75,2673.99,6559.1,8328.31,17066.05,10445.04,11168.4,10582.27,14044.17,13421.28,9624.81,9921.7,9116.01,9646.1,6765.77,8894.02,11463.77,12253.55,8636.87,8941.23,10294.26,10593.05,11243.24,10614.37,9038.86
6,best-3,Bestrophin homolog,2,173379,1971.35,1523.13,1838.34,7661.61,3415.95,10586.49,10839.05,11883.75,8990.68,11194.65,11084.35,7366.39,10345.85,10209.27,8730.44,8250.56,9900.09,12655.42,12807.58,10006.32,6562.28,9597.91,8955.61,8074.78,9685.43,10735.89
7,T02C5.1,hypothetical protein,3,180568,2000.77,3296.88,830.79,,,,,,,,,,,,,,,,,,,,,,,
8,lrp-1,Low-density lipoprotein receptor-related protein,3,172520,2048.76,1765.07,1715.4,3026.76,4902.19,6619.65,7911.75,8966.05,7839.18,9222.92,7098.43,6506.07,7661.63,6688.88,7786.74,8751.54,7051.54,6506.74,4679.95,7352.66,10813.57,10073.99,9865.64,10114.14,8933.54,6963.77
9,oct-2,Organic Cation Transporter,0,181325,2075.11,4154.01,677.62,2661.15,4222.1,6460.7,12481.4,8870.89,3833.57,8045.79,10484.31,5420.64,7909.83,6620.04,9099.1,7799.06,7090.49,7481.76,6543.79,7551.35,6687.7,8454.47,9546.03,4412.4,7138.3,7744.32
