,egl_15,partner,score
0,egl_15,F5GU95,4187
1,egl_15,O17206,3613
2,egl_15,Q10651,4012
3,egl_15,P34672,3726
4,egl_15,P34489,2645
5,egl_15,P91443,2924
6,egl_15,Q10656,7260
7,egl_15,P27715,4824
8,egl_15,G5EBR3,3503
9,egl_15,G5EFI8,4246
10,egl_15,Q04833,0
11,egl_15,Q03601,2630
12,egl_15,Q20977,6969
13,egl_15,Q20762,3726
14,egl_15,Q18245,5276
15,egl_15,G5EBN9,3537
16,egl_15,P34501,2924
17,egl_15,G5EDQ0,5577
18,egl_15,G5ECM5,0
19,egl_15,G5EDL0,2387
20,egl_15,G5EF43,3537
21,egl_15,G5EE82,4296
22,egl_15,G5EDS5,5577
23,egl_15,D3KFS9,3613
24,egl_15,Q8I4H7,3726
25,egl_15,Q9TZ51,3613
26,egl_15,Q94056,3774
27,egl_15,D0VWL6,0
28,egl_15,A0A0K3AVH8,6612
29,egl_15,Q18824,2447
30,egl_15,C6KRG5,3991
31,egl_15,A0A0K3AYL0,7260
32,egl_15,Q09559,3537
33,egl_15,A0A0K3ASM8,6612
34,egl_15,A0A0K3AVM4,7260
35,egl_15,U4PLN0,4305
36,egl_15,A0A0K3AWC6,7260
37,egl_15,Q95YD0,1820
38,egl_15,X5LV34,4246
39,egl_15,K8ESF0,4259
40,egl_15,A0A1C3NSN5,4824
41,egl_15,A0A131MCD3,2058
42,egl_15,G5ED16,3726
43,egl_15,A0A0K3AT74,0
44,egl_15,Q22095,2033
45,egl_15,G5EF30,3537
46,egl_15,A0A1C3NSJ3,4824
47,egl_15,A0A0K3AVI4,7980
48,egl_15,A0A1C3NSH2,4824
49,egl_15,A0A0K3AT80,7980
50,egl_15,G5EDB1,0
51,egl_15,A0A0K3ATB0,7260
52,egl_15,O46015,4012
53,egl_15,G5ECB4,0
54,egl_15,L8E6Y3,3741
55,egl_15,Q19568,3726
56,egl_15,A0A0K3ASS4,7260
57,egl_15,G5EDN9,4824
58,egl_15,A0A0K3AWY0,3613
59,egl_15,G5ECB3,0
60,egl_15,F5GU96,4187
61,egl_15,A0A0K3ASN9,6612
62,egl_15,Q7YTU0,4012
63,egl_15,Q95YA4,3807
64,egl_15,A0A0K3ASN4,7980
65,egl_15,Q23330,4017
66,egl_15,A0A0K3AWC2,8786
67,egl_15,G5EFG8,4246
68,egl_15,A0A0K3AVM0,7260
69,egl_15,A0A1C3NSL4,4824
70,egl_15,A0A0K3AW96,0
71,egl_15,Q18660,3160
72,egl_15,H2L0K1,2033
73,egl_15,D0VWL8,6612
74,egl_15,D0VWL7,7980
75,egl_15,A0A0K3ATB5,7260
76,egl_15,A0A1C3NSK8,3991
77,egl_15,Q18820,3991
78,egl_15,A0A0K3AYI1,7980
79,egl_15,A0A0K3AYH6,6612
80,egl_15,A0A0K3AT86,6612
81,egl_15,D3KFT0,3537
82,egl_15,Q7JKM0,4012
83,egl_15,G1K843,3807
84,egl_15,H2KZ93,3991
85,egl_15,K8F7Z5,4259
86,egl_15,Q22833,5577
87,egl_15,Q20421,4187
88,egl_15,A0A1C3NSI0,4824
89,egl_15,H2KY95,3613
90,egl_15,Q18437,3741
91,egl_15,Q18456,3537
92,egl_15,Q22822,3534
93,egl_15,A0A0K3ASR7,7260
94,egl_15,A0A0K3AWA2,5000
95,egl_15,Q9TYU4,4824
96,egl_15,A0A0K3AYK6,7260
97,egl_15,G5ED57,3612
98,egl_15,X5M8S5,2447
99,egl_15,Q9U2R3,2473
100,egl_15,A0A0K3AVH5,7980
101,egl_15,G5EGR4,3726
102,egl_15,Q20477,3774
103,egl_15,Q23501,3497
104,egl_15,A0A0K3AYK2,7260
105,egl_15,Q19849,3497
